City,Country,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (°F),Wind Speed (mph),Date
Straumen,NO,63.8709,11.2999,79,84,66.2,1.81,1627592645
Aksarka,RU,66.5606,67.7975,100,96,48.49,19.42,1627592647
Kannauj,IN,27.0546,79.922,100,88,80.94,5.99,1627592648
Mahébourg,MU,-20.4081,57.7,81,80,68.25,21.5,1627592648
Lethem,GY,3.3803,-59.7968,98,91,74.68,2.86,1627592649
Necochea,AR,-38.5473,-58.7368,0,59,49.05,1.14,1627592651
Port Elizabeth,ZA,-33.918,25.5701,8,85,53.1,8.99,1627592651
Jacmel,HT,18.2342,-72.5347,15,67,84.15,9.26,1627592652
Ushuaia,AR,-54.8,-68.3,20,39,47.82,20.71,1627592094
Mar del Plata,AR,-38.0023,-57.5575,0,64,50.07,1.77,1627591990
Ponta do Sol,PT,32.6667,-17.1,22,76,73.71,7.29,1627592654
Busselton,AU,-33.65,115.3333,100,70,50.09,26.73,1627592655
Sulmona,IT,42.0479,13.9291,0,33,75.42,6.82,1627592656
Karibib,NA,-21.9333,15.8333,0,19,59.49,9.26,1627592657
Makar'yev,RU,57.8797,43.8069,79,98,60.66,5.23,1627592658
Pauini,BR,-7.7136,-66.9764,3,29,84.52,5.19,1627592658
Tarko-Sale,RU,64.9225,77.785,97,88,52.14,12.86,1627592659
Abonnema,NG,4.7084,6.7931,59,75,76.98,7.34,1627592660
Dikson,RU,73.5069,80.5464,100,78,44.92,13.24,1627592661
Bengkulu,ID,-3.8004,102.2655,36,91,74.84,4.25,1627592662
Castro,BR,-24.7911,-50.0119,4,60,38.23,3.47,1627592663
Ostrovnoy,RU,68.0531,39.5131,27,89,42.17,5.01,1627592260
Magomeni,TZ,-6.8,39.25,12,75,71.96,7.9,1627592666
Bathsheba,BB,13.2167,-59.5167,0,66,81.97,12.33,1627592468
Arraial do Cabo,BR,-22.9661,-42.0278,75,51,62.46,19.57,1627592667
Bredasdorp,ZA,-34.5322,20.0403,4,87,51.12,6.91,1627592225
Faya,SA,18.3851,42.4509,56,68,68.11,3.71,1627592245
Valparaíso,CL,-33.0393,-71.6273,0,77,57.43,4.61,1627592669
Tanout,NE,14.9709,8.8879,95,45,87.4,6.73,1627592670
Meulaboh,ID,4.1363,96.1285,100,88,76.53,4.99,1627592671
São José da Coroa Grande,BR,-8.8978,-35.1478,67,82,75.25,7.67,1627592672
Cidreira,BR,-30.1811,-50.2056,7,60,48.36,10.96,1627592672
Oistins,BB,13.0667,-59.5333,40,70,84.29,13.8,1627592673
Eyl,SO,7.9803,49.8164,87,73,77.7,26.08,1627592674
Chui,UY,-33.6971,-53.4616,100,70,47.21,5.75,1627592675
Palora,EC,-1.7,-77.9333,97,83,70.63,2.26,1627592676
Takoradze,GH,4.8845,-1.7554,55,83,76.71,7.87,1627592677
Vredendal,ZA,-31.6683,18.5012,0,83,52.86,3.53,1627592677
Kruisfontein,ZA,-34.0033,24.7314,2,91,50.88,6.64,1627592678
Vila Franca do Campo,PT,37.7167,-25.4333,45,85,72.01,5.97,1627592679
Ormara,PK,25.2088,64.6357,100,84,81.91,14.03,1627592680
Adrar,MR,20.5022,-10.0711,25,26,93.51,18.37,1627592681
Salinas,US,36.6777,-121.6555,1,62,96.01,9.22,1627592682
Nicoya,CR,10.1483,-85.452,74,66,85.82,2.62,1627592427
Los Llanos de Aridane,ES,28.6585,-17.9182,20,90,67.75,16.11,1627592683
Arrondissement de Saint-Gaudens,FR,43.0833,0.6667,18,94,71.33,2.28,1627592222
Imbituba,BR,-28.24,-48.6703,0,57,53.49,11.61,1627592685
Upernavik,GL,72.7868,-56.1549,100,93,43.52,7.14,1627592686
Safi,MA,32.2994,-9.2372,27,84,70.34,22.03,1627592687
Naryan-Mar,RU,67.6713,53.087,94,87,44.17,3.6,1627592169
Cururupu,BR,-1.8283,-44.8683,6,78,78.75,4.92,1627592495
Qaanaaq,GL,77.484,-69.3632,99,92,40.1,6.55,1627592690
Sambava,MG,-14.2667,50.1667,34,88,68.85,7.7,1627592691
Polovinnoye,RU,54.7914,65.9864,30,64,54.27,9.75,1627592691
Gangānagar,IN,29.9167,73.8833,9,71,87.39,6.85,1627592693
Tevriz,RU,57.509,72.4042,100,97,49.64,4.36,1627592694
Grand Gaube,MU,-20.0064,57.6608,42,82,68.38,8.99,1627592695
Mirandopólis,BR,-21.1336,-51.1017,11,19,54.21,6.91,1627592696
Oranjemund,NA,-28.55,16.4333,0,71,55.35,11.65,1627592697
Cayenne,GF,4.9333,-52.3333,0,76,84.24,3.0,1627592405
Delvinë,AL,39.9511,20.0978,0,31,82.04,6.69,1627592699
Lebu,CL,-37.6167,-73.65,1,74,53.1,5.95,1627592700
Kingussie,GB,57.08,-4.0523,98,94,56.35,1.66,1627592701
Ténenkou,ML,14.4572,-4.9169,73,51,88.27,3.74,1627592701
Antalaha,MG,-14.9003,50.2788,27,93,67.17,4.99,1627592703
Tasiilaq,GL,65.6145,-37.6368,65,68,55.56,3.4,1627592705
Kissidougou,GN,9.1848,-10.0999,85,87,68.25,3.29,1627592706
Muşeniţa,RO,47.9667,26.0,0,92,72.27,5.26,1627592707
Birao,CF,10.2849,22.7882,86,91,73.36,5.3,1627592708
Chipinge,ZW,-20.1883,32.6236,4,57,52.95,2.93,1627592531
Dudinka,RU,69.4058,86.1778,100,86,56.35,4.18,1627592710
San Cristobal,VE,7.7669,-72.225,56,65,82.58,7.52,1627592710
Jardim,BR,-21.4803,-56.1381,51,20,58.48,2.57,1627592567
Koltubanovskiy,RU,52.9407,52.0269,99,56,69.84,9.06,1627592713
São Filipe,CV,14.8961,-24.4956,98,77,75.87,8.95,1627592714
Touros,BR,-5.1989,-35.4608,100,78,79.7,15.1,1627592715
Iquique,CL,-20.2208,-70.1431,59,77,62.89,3.36,1627592479
Laguna,US,38.421,-121.4238,1,28,107.44,1.99,1627592717
Harper,LR,4.375,-7.7169,61,83,76.3,6.78,1627592718
Yambio,SS,4.5721,28.3955,73,97,67.51,4.32,1627592719
Eganville,CA,45.5334,-77.0994,100,97,67.01,3.36,1627592720
Ţahţā,EG,26.7693,31.5021,48,17,87.8,5.99,1627592721
Longonjo,AO,-12.9067,15.2533,0,25,60.46,3.67,1627592722
São João da Barra,BR,-21.6403,-41.0511,21,56,64.49,25.95,1627592723
Zig,US,40.127,-92.7663,75,66,94.37,5.99,1627592724
Dzaoudzi,YT,-12.7887,45.2699,0,69,76.89,11.5,1627592725
Antofagasta,CL,-23.65,-70.4,16,66,65.21,8.37,1627592726
Timberlake,US,37.3207,-79.2575,1,49,94.32,4.61,1627592626
Wattegama,LK,6.7989,81.4808,87,76,77.11,5.46,1627592727
Vila Velha,BR,-20.3297,-40.2925,100,67,57.94,20.04,1627592524
Agirish,RU,61.9247,63.0231,43,95,43.11,4.74,1627592729
Sulina,RO,45.1559,29.6536,65,74,75.79,4.52,1627592730
Lüderitz,NA,-26.6481,15.1594,0,42,62.01,12.06,1627592249
Darbhanga,IN,26.1667,85.9,100,87,80.33,10.63,1627592731
Argentan,FR,48.75,-0.0167,14,78,60.57,6.13,1627592732
Itarema,BR,-2.9248,-39.9167,78,78,79.45,12.57,1627592733
Rafai,CF,4.95,23.9167,15,82,70.68,2.15,1627592734
Tafresh,IR,34.692,50.013,89,35,74.17,14.14,1627592735
Sinnamary,GF,5.3833,-52.95,1,75,81.18,7.36,1627592736
Kiryat Gat,IL,31.61,34.7642,0,75,81.39,4.0,1627592463
Jalu,LY,29.0331,21.5482,0,37,84.7,12.77,1627592737
Wabana,CA,47.6332,-52.9481,0,60,71.56,15.55,1627592738
Codrington,AU,-38.2667,141.9667,54,52,49.08,23.69,1627592739
Torbay,CA,47.6666,-52.7314,20,58,71.76,13.8,1627592217
Narsaq,GL,60.9167,-46.05,63,80,57.42,6.73,1627592740
Marsh Harbour,BS,26.5412,-77.0636,71,65,84.85,8.5,1627592741
Oktyabr'skoye,RU,43.0645,44.7417,19,82,62.35,4.47,1627592742
Moose Factory,CA,51.2585,-80.6094,90,67,58.98,12.66,1627592743
Boden,SE,65.8252,21.6886,33,77,62.6,6.17,1627592744
Xai-Xai,MZ,-25.0519,33.6442,0,75,62.62,6.78,1627592745
Cape Coast,GH,5.1053,-1.2466,69,83,76.73,10.16,1627592746
Chapecó,BR,-27.0964,-52.6183,3,69,38.17,2.98,1627592747
Kavaratti,IN,10.5669,72.642,100,78,82.04,15.86,1627592748
Praia,CV,14.9215,-23.5087,40,73,77.54,13.8,1627592749
Zuwārah,LY,32.9312,12.082,0,68,80.82,11.01,1627592750
Villazón,BO,-22.0866,-65.5942,30,7,56.05,21.52,1627592752
Karasjok,NO,69.4719,25.5112,100,84,46.51,8.34,1627592753
Longyearbyen,SJ,78.2186,15.6401,40,70,44.44,9.22,1627592590
Bukoba,TZ,-1.3317,31.8122,73,65,71.13,4.14,1627592755
Ionia,US,42.9873,-85.0711,40,62,86.9,9.22,1627592164
Gurupi,BR,-11.7292,-49.0686,4,25,86.07,6.49,1627592756
Santa Vitória,BR,-18.8386,-50.1214,0,19,61.83,7.54,1627592586
Sandy Bay,AU,-42.913,147.3532,75,80,47.3,9.22,1627592758
Tazovsky,RU,67.4667,78.7,4,93,50.63,13.65,1627592759
Dejen,ET,10.1667,38.1333,100,90,54.12,4.83,1627592759
Maceió,BR,-9.6658,-35.7353,0,88,74.64,6.91,1627592760
Oriximiná,BR,-1.7656,-55.8661,85,91,74.32,8.97,1627592761
Yar-Sale,RU,66.8333,70.8333,96,97,49.33,11.83,1627592167
Luau,AO,-10.7073,22.2247,0,28,62.67,4.99,1627592656
Nālūt,LY,30.3333,10.85,0,16,86.16,11.9,1627592535
Pozo Colorado,PY,-23.4923,-58.7972,9,28,56.21,4.61,1627592769
Togur,RU,58.3631,82.8265,0,95,48.87,4.12,1627592770
Traverse City,US,44.7631,-85.6206,75,69,77.83,14.97,1627592695
Koster,ZA,-25.863,26.8976,0,34,45.95,8.5,1627592772
Al Bardīyah,LY,31.7561,25.0865,0,70,80.67,12.21,1627592773
Nūzvīd,IN,16.7833,80.85,100,78,78.46,8.52,1627592774
Safaga,EG,26.7292,33.9365,99,33,89.53,4.97,1627592673
Djibouti,DJ,11.5,42.5,100,52,89.02,1.48,1627592776
Tessalit,ML,20.1986,1.0114,100,40,86.43,10.98,1627592777
Tyup,KG,42.7276,78.3648,100,95,59.2,5.79,1627592237
Caribou,US,46.8606,-68.012,75,46,72.28,8.05,1627592779
Clyde River,CA,70.4692,-68.5914,93,68,48.87,6.8,1627592779
Dvinskoy Bereznik,RU,62.8551,42.7072,100,97,57.15,1.68,1627592780
Santa Rosa,PH,14.3122,121.1114,100,89,80.91,6.58,1627592529
Umluj,SA,25.0213,37.2685,100,50,86.94,6.76,1627592783
El Alto,PE,-4.2714,-81.2147,93,71,71.26,17.83,1627592784
Novyye Burasy,RU,52.1324,46.0714,10,84,64.4,5.12,1627592786
Vagay,RU,57.9375,69.0217,26,98,44.78,4.56,1627592787
Nouakchott,MR,18.0858,-15.9785,100,81,76.93,12.75,1627592788
Petropavl,KZ,54.8753,69.1628,6,72,51.62,8.32,1627592788
Havelock,US,34.8791,-76.9013,12,80,89.98,7.0,1627592789
San Antonio,US,29.4241,-98.4936,40,52,96.48,5.75,1627592595
Vallenar,CL,-28.5708,-70.7581,0,13,74.8,6.64,1627592791
Hambantota,LK,6.1241,81.1185,34,83,79.95,18.54,1627592791
Sabha,LY,27.0377,14.4283,0,14,85.93,9.33,1627592792
Trairi,BR,-3.2778,-39.2689,88,81,78.93,9.53,1627592769
Husavik,IS,66.0449,-17.3389,97,92,51.73,3.53,1627592794
Eenhana,NA,-17.4667,16.3333,97,25,58.32,8.23,1627592795
Kulhudhuffushi,MV,6.6221,73.07,30,75,82.56,13.24,1627592795
Moba,CN,33.2288,105.0179,4,63,57.79,4.36,1627592796
Puerto Ayora,EC,-0.7393,-90.3518,53,79,73.56,9.6,1627592750
Qasigiannguit,GL,68.8193,-51.1922,86,76,52.05,6.33,1627592798
Obo,CF,5.3998,26.4869,97,93,68.76,2.55,1627592799
Bonthe,SL,7.5264,-12.505,70,76,77.38,5.91,1627592799
Paamiut,GL,61.994,-49.6678,77,85,45.41,4.32,1627592591
Krasnovishersk,RU,60.4078,57.082,100,90,51.39,3.18,1627592801
Bandarbeyla,SO,9.4942,50.8122,100,79,77.2,30.36,1627592802
Kuldīga,LV,56.974,21.9572,42,69,67.69,9.37,1627592803
Neftçala,AZ,39.3742,49.2472,31,53,75.16,1.79,1627592804
Praia da Vitória,PT,38.7333,-27.0667,29,80,74.75,9.95,1627592806
Muros,ES,42.7762,-9.0603,1,70,64.9,6.46,1627592807
Mossendjo,CG,-2.9506,12.7261,94,68,72.91,4.45,1627592807
Port-Gentil,GA,-0.7193,8.7815,13,78,76.95,14.61,1627592809
Iralaya,HN,15.0,-83.2333,98,72,87.89,10.49,1627592810
Luanda,AO,-8.8368,13.2343,0,86,71.24,12.15,1627592719
Hornepayne,CA,49.2138,-84.7705,98,43,62.85,11.39,1627592811
Soyo,AO,-6.1349,12.3689,1,87,72.63,10.38,1627592812
Abéché,TD,13.8292,20.8324,100,82,74.91,13.09,1627592813
Ferreira do Alentejo,PT,38.05,-8.0333,0,39,70.27,13.18,1627592813
Souillac,MU,-20.5167,57.5167,68,82,68.36,19.8,1627592814
Kuytun,RU,54.3419,101.5036,100,87,52.34,8.75,1627592815
Jacqueville,CI,5.2052,-4.4146,50,85,76.91,6.98,1627592816
Thika,KE,-1.0333,37.0693,88,76,63.01,1.88,1627592817
Akropong,GH,5.9746,-0.0854,61,70,72.28,6.2,1627592818
Durban,ZA,-29.8579,31.0292,1,73,64.02,3.0,1627592819
Bambous Virieux,MU,-20.3428,57.7575,80,79,68.22,21.34,1627592819
Misratah,LY,32.3754,15.0925,0,70,81.61,9.62,1627592820
Quatre Cocos,MU,-20.2078,57.7625,68,80,69.91,20.83,1627592258
Sikeston,US,36.8767,-89.5879,1,52,96.73,11.5,1627592822
Coquimbo,CL,-29.9533,-71.3436,1,65,58.26,5.14,1627592529
Catabola,AO,-12.15,17.2833,1,26,57.99,4.16,1627592823
Nokaneng,BW,-19.6667,22.2667,68,33,56.39,7.9,1627592824
Iqaluit,CA,63.7506,-68.5145,67,66,49.69,8.01,1627592825
Brae,GB,60.3964,-1.353,100,93,55.31,11.59,1627592826
Orcopampa,PE,-15.2661,-72.3417,29,35,54.46,11.16,1627592828
Fourmies,FR,50.0153,4.0478,58,85,62.51,1.74,1627592830
Kurisove,UA,46.9695,30.9591,60,56,77.43,11.54,1627592831
Saint Anthony,US,45.0205,-93.218,40,41,82.72,10.36,1627592832
Kalmunai,LK,7.4167,81.8167,85,75,80.62,2.84,1627592833
Beloha,MG,-25.1667,45.05,20,67,68.38,9.82,1627592834
Câmara de Lobos,PT,32.6333,-16.9667,20,84,73.71,14.97,1627592835
Ambilobe,MG,-13.2,49.05,3,90,65.3,3.49,1627592836
Māngrol,IN,21.1167,70.1167,100,84,81.79,22.95,1627592838
Mwense,ZM,-10.3845,28.698,0,40,63.46,5.08,1627592839
Katsina,NG,12.9894,7.6006,64,60,82.22,5.5,1627592840
Punalūr,IN,9.0,76.9333,90,92,80.28,4.09,1627592841
Bonfim,BR,3.0833,-59.95,98,88,75.13,3.47,1627592843
Gbarnga,LR,6.9956,-9.4722,97,81,72.43,2.39,1627592844
Tutóia,BR,-2.7619,-42.2744,10,85,79.02,8.61,1627592844
Oddur,SO,4.1213,43.8894,75,68,70.32,19.53,1627592845
Bolgar,RU,54.95,49.0667,89,93,67.91,11.74,1627592846
Mahabalipuram,IN,12.6264,80.1722,100,56,87.85,15.68,1627592847
Río Gallegos,AR,-51.6226,-69.2181,0,49,48.25,11.5,1627592848
Abu Samrah,SY,35.3029,37.1841,0,43,80.1,12.66,1627592849
Fethiye,TR,36.6217,29.1164,0,31,91.27,6.38,1627592850
Kovdor,RU,67.5662,30.4758,100,84,49.08,2.82,1627592851
Belyy Yar,RU,53.6039,91.3903,0,100,48.09,2.24,1627592852
Najrān,SA,17.4924,44.1277,71,48,84.4,9.26,1627592853
Illela,NG,13.7292,5.2975,100,56,86.13,5.91,1627592854
Ust'-Koksa,RU,50.2696,85.6108,87,87,50.36,1.48,1627592854
San-Pédro,CI,4.7485,-6.6363,93,87,75.29,5.14,1627592855
Oodweyne,SO,9.4092,45.064,100,47,74.79,20.51,1627592859
Seydi,TM,39.4816,62.9137,9,24,80.13,14.52,1627592863
Rocha,UY,-34.4833,-54.3333,15,75,43.97,5.35,1627592864
Khorixas,NA,-20.3667,14.9667,0,20,63.59,7.92,1627592865
Muyezerskiy,RU,63.9333,31.65,100,88,57.9,7.14,1627592866
Zemio,CF,5.0314,25.1361,94,90,70.45,2.95,1627592867
Alta,NO,69.9689,23.2717,75,75,51.06,1.99,1627592868
Kaunas,LT,54.9,23.9,0,77,65.88,1.14,1627592798
São Raimundo das Mangabeiras,BR,-7.0219,-45.4811,16,30,88.93,2.17,1627592870
Durusu,TR,41.3053,28.6767,0,65,80.78,4.0,1627592870
Saint-Joseph,RE,-21.3667,55.6167,59,82,68.38,16.64,1627592871
Chapais,CA,49.7834,-74.8492,87,90,58.78,9.06,1627592789
Suez,EG,29.9737,32.5263,0,59,80.15,8.97,1627592768
San Miguel de Tucumán,AR,-26.8241,-65.2226,0,25,62.6,4.61,1627592874
Luena,AO,-11.7833,19.9167,54,36,54.73,5.46,1627592875
Salalah,OM,17.0151,54.0924,90,89,78.89,11.5,1627592876
Cap Malheureux,MU,-19.9842,57.6142,36,82,68.47,8.99,1627592876
Sovetskiy,RU,61.3614,63.5842,56,89,43.21,5.28,1627592877
Samaná,DO,19.2056,-69.3369,40,89,82.62,0.0,1627592879
Bitam,GA,2.076,11.5007,36,97,68.58,3.96,1627592879
Pointe Michel,DM,15.25,-61.3833,73,75,81.55,13.71,1627592880
Palāsa,IN,18.7667,84.4167,100,82,77.52,6.13,1627592853
Mamou,GN,10.5,-12.0,98,99,68.18,3.15,1627592882
San Juan,AR,-31.5375,-68.5364,0,21,61.16,4.74,1627592883
Curillo,CO,1.0333,-75.9191,71,92,77.95,1.41,1627592884
Road Town,VG,18.4167,-64.6167,40,79,84.24,11.5,1627592741
Rochegda,RU,62.8,43.25,100,98,56.91,2.39,1627592886
El Cobre,CU,20.0489,-75.9469,40,70,85.44,9.22,1627592887
Sofiyivka,UA,48.0493,33.8746,0,83,75.36,10.83,1627592888
Maragogi,BR,-9.0122,-35.2225,80,82,74.93,7.56,1627592889
Robertsport,LR,6.7533,-11.3686,42,75,78.53,8.9,1627592890
Parabel',RU,58.6978,81.4825,4,93,46.17,2.98,1627592891
Ouro Fino,BR,-22.2831,-46.3692,15,40,46.85,4.61,1627592892
Orsha,BY,54.5153,30.4053,99,97,63.91,6.15,1627592893
City of San Pedro,PH,14.35,121.0167,100,90,80.15,9.19,1627592894
Kilosa,TZ,-6.8333,36.9833,4,69,64.83,2.53,1627592894
Manavālakurichi,IN,8.1333,77.3,20,83,80.69,15.64,1627592895
Norrtälje,SE,59.758,18.705,25,85,65.84,6.2,1627592897
Zipaquirá,CO,5.0221,-74.0048,84,67,63.84,7.65,1627592898
Sistranda,NO,63.7256,8.834,49,87,57.9,15.77,1627592899
Leshukonskoye,RU,64.8989,45.7622,90,91,45.43,4.68,1627592900
João Pinheiro,BR,-17.7425,-46.1725,0,24,65.88,5.7,1627592901
Abhā,SA,18.2164,42.5053,68,83,66.45,4.61,1627592902
Pokhara,NP,28.2333,83.9833,98,84,73.51,0.78,1627592903
Aykino,RU,62.2248,49.9922,100,90,51.58,4.59,1627592905
Polyarny,RU,69.1989,33.4478,100,85,46.87,6.06,1627592906
Urambo,TZ,-5.0667,32.05,2,35,67.91,5.35,1627592907
Diffa,NE,13.3154,12.6113,35,61,83.44,7.58,1627592908
Tadpatri,IN,14.9167,78.0167,44,69,78.31,18.75,1627592909
Muhos,FI,64.808,25.9931,24,91,62.38,7.27,1627592910
Makkah al Mukarramah,SA,21.4267,39.8261,97,40,90.55,4.25,1627592910
Saint-Leu,RE,-21.15,55.2833,78,75,68.86,6.73,1627592911
Saint-Louis,SN,16.3333,-15.0,93,48,89.08,2.33,1627592912
Plast,RU,54.3691,60.8136,96,58,56.52,7.54,1627592913
Tshikapa,CD,-6.4167,20.8,0,29,75.02,2.35,1627592914
Rincon,US,32.296,-81.2354,40,65,96.85,8.05,1627592915
Breyten,ZA,-26.3018,29.987,0,37,44.11,6.6,1627592916
Am Timan,TD,11.0297,20.2827,59,90,74.66,6.49,1627592917
Mitsamiouli,KM,-11.3847,43.2844,1,64,76.21,7.76,1627592918
Boundiali,CI,9.5217,-6.4869,98,92,68.31,2.93,1627592919
Łomża,PL,53.1781,22.0593,28,68,65.84,11.41,1627592920
Anori,BR,-3.7728,-61.6442,15,46,88.81,3.49,1627592921
Plouzané,FR,48.3833,-4.6167,90,91,62.69,18.41,1627592922
Cartagena,CO,10.3997,-75.5144,66,77,83.01,8.37,1627592744
Esna,EG,25.2934,32.554,100,17,89.24,8.03,1627592924
Trabzon Province,TR,40.9167,39.8333,40,65,71.69,2.3,1627592631
Cockburn Town,TC,21.4612,-71.1419,0,77,82.31,19.06,1627592925
Trāl,IN,33.9333,75.1,89,90,68.4,0.51,1627592926
Aksu,CN,41.1231,80.2644,100,20,88.18,5.59,1627592927
Omboué,GA,-1.5746,9.2618,19,78,75.22,10.33,1627592928
Hualmay,PE,-11.0964,-77.6139,45,75,66.69,7.14,1627592929
Rock Hill,US,34.9249,-81.0251,40,51,96.44,6.91,1627592700
Ampanihy,MG,-24.7,44.75,79,59,70.5,7.07,1627592930
Santa Maria,BR,-29.6842,-53.8069,5,69,42.96,3.02,1627592931
Santa Margherita Ligure,IT,44.3346,9.212,1,87,76.84,3.91,1627592932
Margate,GB,51.3813,1.3862,47,73,62.69,3.0,1627592916
Uvira,CD,-3.4067,29.1458,19,66,74.28,2.64,1627592934
Sur,OM,22.5667,59.5289,100,50,92.32,18.37,1627592935
Benghazi,LY,32.1167,20.0667,0,69,82.47,17.09,1627592936
Cascais,PT,38.6979,-9.4215,0,73,67.46,15.99,1627592936
Port Said,EG,31.2565,32.2841,0,72,82.11,14.18,1627592937
Dhidhdhoo,MV,6.8833,73.1,45,75,82.76,14.12,1627592938
Kologriv,RU,58.8275,44.3178,78,99,60.06,5.12,1627592939
Province of Mantua,IT,45.1667,10.7833,5,78,79.84,4.59,1627592940
Zaysan,KZ,47.4667,84.8667,100,39,64.2,3.96,1627592941
Yurla,RU,59.3259,54.3223,100,99,56.91,1.36,1627592942
Novolabinskaya,RU,45.1096,39.894,0,53,69.15,5.21,1627592943
Isabela,PH,6.7085,121.9711,60,90,79.14,4.03,1627592944
Manturovo,RU,58.3353,44.7619,94,99,59.85,5.01,1627592945
Porto-Novo,BJ,6.4965,2.6036,87,79,77.65,7.87,1627592946
Bonavista,CA,48.6499,-53.1147,11,74,62.2,4.85,1627592947
Shuya,RU,56.8487,41.3883,72,87,62.46,6.13,1627592948
Landau,DE,49.2075,8.1133,36,72,66.52,2.68,1627592949
Balyqshy,KZ,47.0667,51.8667,0,42,68.0,4.47,1627592949
Peniche,PT,39.3558,-9.3811,0,86,65.68,17.13,1627592951
Korhogo,CI,9.45,-5.6333,41,87,68.74,4.59,1627592952
Iracoubo,GF,5.4802,-53.2011,1,76,81.07,7.34,1627592954
Zhangaözen,KZ,43.3,52.8,98,23,78.3,11.05,1627592955
Bereda,ES,43.2686,-7.5406,0,95,61.14,1.28,1627592893
Tshela,CD,-4.9833,12.9333,5,87,68.99,2.68,1627592957
Lagoa,PT,39.05,-27.9833,8,87,70.56,10.16,1627592958
Mossamedes,AO,-15.1961,12.1522,29,84,64.9,2.19,1627592959
Kirkwall,GB,58.9848,-2.9587,90,100,55.74,10.36,1627592959
Crossville,US,35.949,-85.0269,1,64,91.29,3.0,1627592960
Masindi,UG,1.6744,31.715,36,92,63.21,0.56,1627592961
Turukhansk,RU,65.8167,87.9833,100,93,55.85,7.45,1627592787
Kabo,CF,7.6994,18.629,82,92,71.47,3.0,1627592963
Port-Cartier,CA,50.0334,-66.8654,95,64,65.19,4.83,1627592963
Mafra,BR,-26.1114,-49.8053,0,59,45.95,2.13,1627592965
Angoche,MZ,-16.2325,39.9086,2,68,70.43,7.85,1627592966
Stockach,DE,47.85,9.0167,49,71,67.17,2.28,1627592967
Saint George,US,37.1041,-113.5841,1,24,102.63,3.0,1627592952
Sept-Îles,CA,50.2001,-66.3821,99,73,60.64,3.53,1627592968
Siderno,IT,38.2779,16.302,0,39,85.84,10.07,1627592969
Kandé,TG,9.9578,1.0447,100,79,75.2,1.1,1627592970
Baie-Comeau,CA,49.2168,-68.1489,98,69,64.2,12.24,1627592897
Makat,KZ,47.6469,53.3463,77,15,78.82,6.91,1627592972
Rosetta,EG,31.4044,30.4164,0,80,79.0,9.46,1627592973
